#Release 14.7 - par P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Tue May  9 04:33:10 2023

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       round_map.ncd
#OUTPUT FILE:      round_pad.csv
#PART TYPE:        xc3s500e
#SPEED GRADE:      -4
#PACKAGE:          fg320
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
B10,z5<11>,IBUF,IO_L12P_0/GCLK6,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B11,z5<10>,IBUF,IO/VREF_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B12,,,VCCAUX,,,,,,,,2.5,,,,
B13,y1<8>,IOB,IO_L05N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B14,y1<5>,IOB,IO_L04P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B15,z5<1>,IBUF,IP_L02P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B16,z5<0>,IBUF,IO_L01P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B17,,,GND,,,,,,,,,,,,
B18,,IBUF,IP,UNUSED,,1,,,,,,,,,
C1,y3<4>,IOB,IO_L01P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C2,y4<7>,IOB,IO_L01N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C3,y4<10>,IOB,IO_L25P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C4,y4<4>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C5,y3<12>,IOB,IO_L23P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C6,,,VCCO_0,,,0,,,,,2.50,,,,
C7,y3<5>,IOB,IO_L18P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C8,,DIFFMI,IP_L16P_0,UNUSED,,0,,,,,,,,,
C9,z5<15>,IBUF,IO_L14P_0/GCLK10,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C10,,,GND,,,,,,,,,,,,
C11,y1<14>,IOB,IO_L09P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C12,z5<4>,IBUF,IP_L07P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C13,,,VCCO_0,,,0,,,,,2.50,,,,
C14,y1<3>,IOB,IO_L03N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C15,x1<12>,IBUF,IP,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C16,,,TDO,,,,,,,,,,,,
C17,,DIFFS,IO_L24N_1/LDC2,UNUSED,,1,,,,,,,,,
C18,z1<15>,IBUF,IO_L24P_1/LDC1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
D1,y4<9>,IOB,IO_L02P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D2,y3<7>,IOB,IO_L02N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D3,x2<0>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
D4,,,NC,,,,,,,,,,,,
D5,y3<10>,IOB,IO_L23N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D6,,,NC,,,,,,,,,,,,
D7,y4<8>,IOB,IO_L18N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D8,,DIFFSI,IP_L16N_0,UNUSED,,0,,,,,,,,,
D9,y4<0>,IOB,IO_L14N_0/GCLK11,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D10,z5<8>,IBUF,IO_L11P_0/GCLK4,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D11,y1<15>,IOB,IO_L09N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D12,z5<5>,IBUF,IP_L07N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D13,z5<3>,IBUF,IP,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D14,x1<6>,IBUF,IO_L03P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D15,,,TMS,,,,,,,,,,,,
D16,z1<14>,IBUF,IO_L23N_1/LDC0,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
D17,z1<13>,IBUF,IO_L23P_1/HDC,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
D18,z1<12>,IBUF,IP/VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
E1,y3<9>,IOB,IO_L03N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E2,y3<8>,IOB,IO_L03P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E3,,,NC,,,,,,,,,,,,
E4,,,NC,,,,,,,,,,,,
E5,,,VCCINT,,,,,,,,1.2,,,,
E6,,,NC,,,,,,,,,,,,
E7,y4<5>,IOB,IO_L19N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E8,y3<11>,IOB,IO_L17P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E9,y4<2>,IOB,IO_L15P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E10,z5<9>,IBUF,IO_L11N_0/GCLK5,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E11,y1<11>,IOB,IO_L08P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E12,y1<10>,IOB,IO_L06N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E13,y1<1>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E14,,,VCCINT,,,,,,,,1.2,,,,
E15,,,NC,,,,,,,,,,,,
E16,,,NC,,,,,,,,,,,,
E17,z1<11>,IBUF,IO,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
E18,z1<8>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
F1,y4<15>,IOB,IO_L05P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F2,y3<15>,IOB,IO_L05N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F3,,,VCCO_3,,,3,,,,,2.50,,,,
F4,y4<14>,IOB,IO,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F5,x2<1>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
F6,,,VCCINT,,,,,,,,1.2,,,,
F7,y3<0>,IOB,IO_L19P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F8,y4<1>,IOB,IO_L17N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F9,y3<1>,IOB,IO_L15N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F10,z5<6>,IBUF,IP_L10P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
F11,y1<12>,IOB,IO_L08N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F12,y1<9>,IOB,IO_L06P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F13,,,VCCINT,,,,,,,,1.2,,,,
F14,z1<10>,IBUF,IO_L21N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
F15,z1<9>,IBUF,IO_L21P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
F16,,,VCCO_1,,,1,,,,,2.50,,,,
F17,z1<5>,IBUF,IO_L19N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
F18,z1<4>,IBUF,IO_L19P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
G1,x2<2>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
G2,,,VCCAUX,,,,,,,,2.5,,,,
G3,y3<13>,IOB,IO_L06P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G4,y3<14>,IOB,IO_L06N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G5,x2<3>,IBUF,IO_L07N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
G6,y4<13>,IOB,IO_L07P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G7,,,GND,,,,,,,,,,,,
G8,,,VCCO_0,,,0,,,,,2.50,,,,
G9,y3<2>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G10,z5<7>,IBUF,IP_L10N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
G11,,,VCCO_0,,,0,,,,,2.50,,,,
G12,,,GND,,,,,,,,,,,,
G13,z1<7>,IBUF,IO_L20N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
G14,z1<6>,IBUF,IO_L20P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
G15,z1<1>,IBUF,IO_L18P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
G16,z1<2>,IBUF,IO_L18N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
G17,,,VCCAUX,,,,,,,,2.5,,,,
G18,x1<14>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
H1,x2<10>,IBUF,IO_L10N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H2,x2<9>,IBUF,IO_L10P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H3,x2<8>,IBUF,IO_L09N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H4,x2<7>,IBUF,IO_L09P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H5,x2<5>,IBUF,IO_L08N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H6,x2<4>,IBUF,IO_L08P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H7,,,VCCO_3,,,3,,,,,2.50,,,,
H8,,,GND,,,,,,,,,,,,
H9,,,GND,,,,,,,,,,,,
H10,,,GND,,,,,,,,,,,,
H11,,,GND,,,,,,,,,,,,
H12,,,VCCO_1,,,1,,,,,2.50,,,,
H13,z1<3>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
H14,x1<15>,IBUF,IO_L17P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
H15,y1<4>,IOB,IO_L17N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H16,x1<11>,IBUF,IO_L16P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
H17,x1<10>,IBUF,IO_L16N_1/A0,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
H18,x1<9>,IBUF,IP/VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
J1,x2<14>,IBUF,IO_L12P_3/LHCLK2,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J2,x2<15>,IBUF,IO_L12N_3/LHCLK3/IRDY2,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J3,,,GND,,,,,,,,,,,,
J4,x2<13>,IBUF,IO_L11N_3/LHCLK1,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J5,x2<12>,IBUF,IO_L11P_3/LHCLK0,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J6,x2<11>,IBUF,IP/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J7,x2<6>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J8,,,GND,,,,,,,,,,,,
J11,,,GND,,,,,,,,,,,,
J12,x1<13>,IBUF,IO_L15P_1/A2,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
J13,x1<8>,IBUF,IO_L15N_1/A1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
J14,y1<0>,IOB,IO_L14N_1/A3/RHCLK7,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J15,y2<7>,IOB,IO_L14P_1/A4/RHCLK6,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J16,y1<2>,IOB,IO_L13N_1/A5/RHCLK5,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J17,x1<5>,IBUF,IO_L13P_1/A6/RHCLK4/IRDY1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
J18,,,VCCO_1,,,1,,,,,2.50,,,,
K1,,,VCCO_3,,,3,,,,,2.50,,,,
K2,z2<0>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K3,z2<5>,IBUF,IO_L13P_3/LHCLK4/TRDY2,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K4,z2<2>,IBUF,IO_L13N_3/LHCLK5,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K5,z2<4>,IBUF,IO_L14N_3/LHCLK7,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K6,z2<6>,IBUF,IO_L14P_3/LHCLK6,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K7,z2<1>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K8,,,GND,,,,,,,,,,,,
K11,,,GND,,,,,,,,,,,,
K12,x1<7>,IBUF,IO_L11N_1/A9/RHCLK1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K13,y2<0>,IOB,IO_L11P_1/A10/RHCLK0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K14,y2<15>,IOB,IO_L12N_1/A7/RHCLK3/TRDY1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K15,y2<14>,IOB,IO_L12P_1/A8/RHCLK2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K16,,,GND,,,,,,,,,,,,
K17,x1<3>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K18,x1<4>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L1,z2<3>,IBUF,IO_L15P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L2,z2<7>,IBUF,IO_L15N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L3,z2<8>,IBUF,IO_L16P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L4,z2<9>,IBUF,IO_L16N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L5,z2<12>,IBUF,IO_L17N_3/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L6,z2<11>,IBUF,IO_L17P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L7,,,VCCO_3,,,3,,,,,2.50,,,,
L8,,,GND,,,,,,,,,,,,
L9,,,GND,,,,,,,,,,,,
L10,,,GND,,,,,,,,,,,,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCO_1,,,1,,,,,2.50,,,,
L13,x1<2>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L14,z3<8>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L15,y2<13>,IOB,IO_L09N_1/A11,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L16,y2<8>,IOB,IO_L09P_1/A12,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L17,y2<2>,IOB,IO_L10N_1/VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L18,y2<11>,IOB,IO_L10P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M1,z2<10>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M2,,,VCCAUX,,,,,,,,2.5,,,,
M3,z2<14>,IBUF,IO_L18N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M4,z2<13>,IBUF,IO_L18P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M5,x4<0>,IBUF,IO_L19P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M6,x4<1>,IBUF,IO_L19N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M7,,,GND,,,,,,,,,,,,
M8,,,VCCO_2,,,2,,,,,2.50,,,,
M9,z6<7>,IBUF,IO_L12N_2/D6/GCLK13,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
M10,x3<0>,IBUF,IO_L16P_2/M0,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
M11,,,VCCO_2,,,2,,,,,2.50,,,,
M12,,,GND,,,,,,,,,,,,
M13,y2<9>,IOB,IO_L05N_1/VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M14,y2<3>,IOB,IO_L05P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M15,x1<1>,IBUF,IO_L07P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
M16,y2<12>,IOB,IO_L07N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M17,,,VCCAUX,,,,,,,,2.5,,,,
M18,z3<14>,IBUF,IO_L08N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N1,z2<15>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N2,x4<4>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N3,,,VCCO_3,,,3,,,,,2.50,,,,
N4,x4<2>,IBUF,IO_L20P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N5,x4<3>,IBUF,IO_L20N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N6,,,VCCINT,,,,,,,,1.2,,,,
N7,z4<11>,IBUF,IO_L07P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
N8,z6<0>,IBUF,IO_L09N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
N9,z6<6>,IBUF,IO_L12P_2/D7/GCLK12,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
N10,x3<1>,IBUF,IO_L16N_2/DIN/D0,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
N11,x3<5>,IBUF,IO_L18N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
N12,,,NC,,,,,,,,,,,,
N13,,,VCCINT,,,,,,,,1.2,,,,
N14,,,NC,,,,,,,,,,,,
N15,,,NC,,,,,,,,,,,,
N16,,,VCCO_1,,,1,,,,,2.50,,,,
N17,x1<0>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N18,y2<10>,IOB,IO_L08P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P1,x4<6>,IBUF,IO_L21N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P2,x4<5>,IBUF,IO_L21P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P3,,,NC,,,,,,,,,,,,
P4,,,NC,,,,,,,,,,,,
P5,,,VCCINT,,,,,,,,1.2,,,,
P6,z4<9>,IBUF,IO_L05N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P7,z4<12>,IBUF,IO_L07N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P8,z4<15>,IBUF,IO_L09P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P9,z6<1>,IBUF,IO,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P10,z6<14>,IBUF,IO_L15N_2/D1/GCLK3,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P11,x3<4>,IBUF,IO_L18P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P12,,,NC,,,,,,,,,,,,
P13,x3<12>,IBUF,IO_L22P_2/A23,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P14,,,VCCINT,,,,,,,,1.2,,,,
P15,y2<5>,IOB,IO,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P16,,,NC,,,,,,,,,,,,
P17,y2<6>,IOB,IO_L06P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P18,z3<15>,IBUF,IO_L06N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
R1,x4<8>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R2,x4<10>,IBUF,IO_L23N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
